ID,Тип,марка,вид,Страна,форма,Оборот,Иерархия1,Иерархия2,Иерархия3,Иерархия4,Иерархия5,,,,
65,Пиво,Alpen Bier,Witbier,Россия,Квадрат,Нет,Ale,Belgian/French Ale,Witbier,,,,,,
66,Пиво,Ename,Tripel,Бельгия,Квадрат,Нет,Ale,Belgian/French Ale,Belgian Strong Pale Ale,Tripel,,,,,
67,Заведение,МЕГАФЕСТ,Фестиваль,Россия,Ромб,Нет,-,,,,,,,,
68,Пиво,Grolsch,Pilsner,Голландия,Квадрат,Нет,Lager,Pilsner,,,,,,,
69,Чай,-,-,Китай,Квадрат,Нет,-,,,,,,,,
70,Заведение,Beerstein,Ресторан-пивоварня,Россия,Квадрат,Нет,-,,,,,,,,
71,Заведение,Северная привоварня,Пивоварня,Россия,Квадрат,Нет,-,,,,,,,,
72,Пиво,Adriaen Brouwer Dark Gold,Belgian Strong Dark Ale,Бельгия,Квадрат,Нет,Ale,Belgian/French Ale,Belgian Dark Ale,Belgian Strong Dark Ale,,,,,
73,Заведение,2 Берега,Ресторан,Россия,Квадрат,Нет,-,,,,,,,,
74,Заведение,2 Берега,Ресторан,Россия,Квадрат,Нет,-,,,,,,,,
75,Вино,-,-,США,Квадрат,Нет,-,,,,,,,,
76,Пиво,Delirium,Belgian Strong Pale Ale,Бельгия,Квадрат,Нет,Ale,Belgian/French Ale,Belgian Pale Ale,Belgian Strong Pale Ale,,,,,
77,Заведение,Knightberg,Пивоварня,Россия,Квадрат,Нет,-,,,,,,,,
78,Пиво,Bourgogne Des Flandres Brune/Bruin,Flanders Oud Bruin,Бельгия,Квадрат,Нет,Ale,German Ale,Sour,Flanders Brown Ale/Oud Bruin,,,,,
79,Заведение,Knightberg,Пивоварня,Россия,Квадрат,Нет,-,,,,,,,,
80,Заведение,Jaws Brewery,Пивоварня,Россия,Квадрат,Нет,-,,,,,,,,
81,Пиво,Murphy's Irish Red,Red Ale,Ирландия,Квадрат,Нет,Ale,Irish Ale,Red Ale,,,,,,
82,Пиво,Floreffe,Tripel,Бельгия,Квадрат,Нет,Ale,Belgian/French Ale,Belgian Strong Pale Ale,Tripel,,,,,
83,Заведение,Novoměstský pivovar,Пивоварня,Чехия,Квадрат,Нет,-,,,,,,,,
84,Пиво,Василеостровское,Lager,Россия,Квадрат,Нет,Lager,,,,,,,,
85,Пиво,Василеостровское,Lager,Россия,Квадрат,Да,Lager,,,,,,,,
86,Пиво,Bitburger,Pilsner,Германия,Ромб,Нет,Lager,Pilsner,,,,,,,
